a;b;c;d;e;f;g;h;i;j
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,1;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,2;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,3;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,4;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,5;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,6;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,7;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,8;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,8;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,8;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,8;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
0,8;0,3;0,7;0,6;0,2;0,8;0,0;0,5;0,4;0,9
