a;b;c;d;e;f;g;h;i;j
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,0
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,0
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,0
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
0,3;0,4;0,2;0,9;0,8;0,5;0,0;0,6;0,7;1,1
